Date,PX_CLOSE
2022/1/26,159.78
2022/1/25,161.62
2022/1/24,162.41
2022/1/21,164.51
2022/1/20,166.23
2022/1/19,169.8
2022/1/18,173.07
2022/1/14,172.19
2022/1/13,175.53
2022/1/12,175.08
2022/1/11,172.19
2022/1/10,172.17
2022/1/7,172
2022/1/6,174.92
2022/1/5,179.7
2022/1/4,182.01
2022/1/3,177.57
2021/12/31,178.2
2021/12/30,179.38
2021/12/29,179.29
2021/12/28,180.33
2021/12/27,176.28
2021/12/23,175.64
2021/12/22,172.99
2021/12/21,169.75
2021/12/20,171.14
2021/12/17,172.26
2021/12/16,179.3
2021/12/15,174.33
2021/12/14,175.74
2021/12/13,179.45
2021/12/10,174.56
2021/12/9,175.08
2021/12/8,171.18
2021/12/7,165.32
2021/12/6,161.84
2021/12/3,163.76
2021/12/2,164.77
2021/12/1,165.3
2021/11/30,160.24
2021/11/29,156.81
2021/11/26,161.94
2021/11/24,161.41
2021/11/23,161.02
2021/11/22,160.55
2021/11/19,157.87
2021/11/18,153.49
2021/11/17,151
2021/11/16,150
2021/11/15,149.99
2021/11/12,147.87
2021/11/11,147.92
2021/11/10,150.81
2021/11/9,150.44
2021/11/8,151.28
2021/11/5,150.96
2021/11/4,151.49
2021/11/3,150.02
2021/11/2,148.96
2021/11/1,149.8
2021/10/29,152.57
2021/10/28,148.85
2021/10/27,149.32
2021/10/26,148.64
2021/10/25,148.69
2021/10/22,149.48
2021/10/21,149.26
2021/10/20,148.76
2021/10/19,146.55
2021/10/18,144.84
2021/10/15,143.76
2021/10/14,140.91
2021/10/13,141.51
2021/10/12,142.81
2021/10/11,142.9
2021/10/8,143.29
2021/10/7,142
2021/10/6,141.11
2021/10/5,139.14
2021/10/4,142.65
2021/10/1,141.5
2021/9/30,142.83
2021/9/29,141.91
2021/9/28,145.37
2021/9/27,146.92
2021/9/24,146.83
2021/9/23,145.85
2021/9/22,143.43
2021/9/21,142.94
2021/9/20,146.06
2021/9/17,148.79
2021/9/16,149.03
2021/9/15,148.12
2021/9/14,149.55
2021/9/13,148.97
2021/9/10,154.07
2021/9/9,155.11
2021/9/8,156.69
2021/9/7,154.3
2021/9/3,153.65
2021/9/2,152.51
2021/9/1,151.83
2021/8/31,153.12
2021/8/30,148.6
2021/8/27,147.54
2021/8/26,148.36
2021/8/25,149.62
2021/8/24,149.71
2021/8/23,148.19
2021/8/20,146.7
2021/8/19,146.36
2021/8/18,150.19
2021/8/17,151.12
2021/8/16,149.1
2021/8/13,148.89
2021/8/12,145.86
2021/8/11,145.6
2021/8/10,146.09
2021/8/9,146.14
2021/8/6,147.06
2021/8/5,146.95
2021/8/4,147.36
2021/8/3,145.52
2021/8/2,145.86
2021/7/30,145.64
2021/7/29,144.98
2021/7/28,146.77
2021/7/27,148.99
2021/7/26,148.56
2021/7/23,146.8
2021/7/22,145.4
2021/7/21,146.15
2021/7/20,142.45
2021/7/19,146.39
2021/7/16,148.48
2021/7/15,149.15
2021/7/14,145.64
2021/7/13,144.5
2021/7/12,145.11
2021/7/9,143.24
2021/7/8,144.57
2021/7/7,142.02
2021/7/6,139.96
2021/7/2,137.27
2021/7/1,136.96
2021/6/30,136.33
2021/6/29,134.78
2021/6/28,133.11
2021/6/25,133.41
2021/6/24,133.7
2021/6/23,133.98
2021/6/22,132.3
2021/6/21,130.46
2021/6/18,131.79
2021/6/17,130.15
2021/6/16,129.64
2021/6/15,130.48
2021/6/14,127.35
2021/6/11,126.11
2021/6/10,127.13
2021/6/9,126.74
2021/6/8,125.9
2021/6/7,125.89
2021/6/4,123.54
2021/6/3,125.06
2021/6/2,124.28
2021/6/1,124.61
2021/5/28,125.28
2021/5/27,126.85
2021/5/26,126.9
2021/5/25,127.1
2021/5/24,125.43
2021/5/21,127.31
2021/5/20,124.69
2021/5/19,124.85
2021/5/18,126.27
2021/5/17,127.45
2021/5/14,124.97
2021/5/13,122.77
2021/5/12,125.91
2021/5/11,126.85
2021/5/10,130.21
2021/5/7,129.74
2021/5/6,128.1
2021/5/5,127.85
2021/5/4,132.54
2021/5/3,131.46
2021/4/30,133.48
2021/4/29,133.58
2021/4/28,134.39
2021/4/27,134.72
2021/4/26,134.32
2021/4/23,131.94
2021/4/22,133.5
2021/4/21,133.11
2021/4/20,134.84
2021/4/19,134.16
2021/4/16,134.5
2021/4/15,132.03
2021/4/14,134.43
2021/4/13,131.24
2021/4/12,132.995
2021/4/9,130.36
2021/4/8,127.9
2021/4/7,126.21
2021/4/6,125.9
2021/4/5,123
2021/4/1,122.15
2021/3/31,119.9
2021/3/30,121.39
2021/3/29,121.21
2021/3/26,120.59
2021/3/25,120.09
2021/3/24,122.54
2021/3/23,123.39
2021/3/22,119.99
2021/3/19,120.53
2021/3/18,124.76
2021/3/17,125.57
2021/3/16,123.99
2021/3/15,121.03
2021/3/12,121.96
2021/3/11,119.98
2021/3/10,121.085
2021/3/9,116.36
2021/3/8,121.42
2021/3/5,120.13
2021/3/4,122.06
2021/3/3,125.12
2021/3/2,127.79
2021/3/1,121.26
2021/2/26,120.99
2021/2/25,125.35
2021/2/24,125.86
2021/2/23,126
2021/2/22,129.87
2021/2/19,129.71
2021/2/18,130.84
2021/2/17,133.19
2021/2/16,135.37
2021/2/12,135.13
2021/2/11,135.39
2021/2/10,136.01
2021/2/9,136.91
2021/2/8,136.76
2021/2/5,137.39
2021/2/4,133.94
2021/2/3,134.99
2021/2/2,134.14
2021/2/1,131.96
2021/1/29,137.09
2021/1/28,142.06
2021/1/27,143.16
2021/1/26,142.92
2021/1/25,139.07
2021/1/22,136.87
2021/1/21,132.03
2021/1/20,127.83
2021/1/19,127.14
2021/1/15,128.91
2021/1/14,130.89
2021/1/13,128.8
2021/1/12,128.98
2021/1/11,132.05
2021/1/8,130.92
2021/1/7,126.6
2021/1/6,131.01
2021/1/5,129.41
2021/1/4,132.69
2020/12/31,133.72
2020/12/30,134.87
2020/12/29,136.69
2020/12/28,131.97
2020/12/24,130.96
2020/12/23,131.88
2020/12/22,128.23
2020/12/21,126.655
2020/12/18,128.7
2020/12/17,127.81
2020/12/16,127.88
2020/12/15,121.78
2020/12/14,122.41
2020/12/11,123.24
2020/12/10,121.78
2020/12/9,124.38
2020/12/8,123.75
2020/12/7,122.25
2020/12/4,122.94
2020/12/3,123.08
2020/12/2,122.72
2020/12/1,119.05
2020/11/30,116.59
2020/11/27,116.03
2020/11/25,115.17
2020/11/24,113.85
2020/11/23,117.34
2020/11/20,118.64
2020/11/19,118.03
2020/11/18,119.39
2020/11/17,120.3
2020/11/16,119.26
2020/11/13,119.21
2020/11/12,119.49
2020/11/11,115.97
2020/11/10,116.32
2020/11/9,118.69
2020/11/6,119.03
2020/11/5,114.95
2020/11/4,110.44
2020/11/3,108.77
2020/11/2,108.86
2020/10/30,115.32
2020/10/29,111.2
2020/10/28,116.6
2020/10/27,115.05
2020/10/26,115.04
2020/10/23,115.75
2020/10/22,116.87
2020/10/21,117.51
2020/10/20,115.98
2020/10/19,119.02
2020/10/16,120.71
2020/10/15,121.19
2020/10/14,121.1
2020/10/13,124.4
2020/10/12,116.97
2020/10/9,114.97
2020/10/8,115.08
2020/10/7,113.16
2020/10/6,116.5
2020/10/5,113.02
2020/10/2,116.79
2020/10/1,115.81
2020/9/30,114.09
2020/9/29,114.96
2020/9/28,112.28
2020/9/25,108.22
2020/9/24,107.12
2020/9/23,111.81
2020/9/22,110.08
2020/9/21,106.84
